"Date","day","day_no","month","month_no","year"
"1/1/2020 0:00","Wed","1","Jan","1","2020"
"1/2/2020 0:00","Thu","2","Jan","1","2020"
"1/3/2020 0:00","Fri","3","Jan","1","2020"
"1/4/2020 0:00","Sat","4","Jan","1","2020"
"1/5/2020 0:00","Sun","5","Jan","1","2020"
"1/6/2020 0:00","Mon","6","Jan","1","2020"
"1/7/2020 0:00","Tue","7","Jan","1","2020"
"1/8/2020 0:00","Wed","8","Jan","1","2020"
"1/9/2020 0:00","Thu","9","Jan","1","2020"
"1/10/2020 0:00","Fri","10","Jan","1","2020"
"1/11/2020 0:00","Sat","11","Jan","1","2020"
"1/12/2020 0:00","Sun","12","Jan","1","2020"
"1/13/2020 0:00","Mon","13","Jan","1","2020"
"1/14/2020 0:00","Tue","14","Jan","1","2020"
"1/15/2020 0:00","Wed","15","Jan","1","2020"
"1/16/2020 0:00","Thu","16","Jan","1","2020"
"1/17/2020 0:00","Fri","17","Jan","1","2020"
"1/18/2020 0:00","Sat","18","Jan","1","2020"
"1/19/2020 0:00","Sun","19","Jan","1","2020"
"1/20/2020 0:00","Mon","20","Jan","1","2020"
"1/21/2020 0:00","Tue","21","Jan","1","2020"
"1/22/2020 0:00","Wed","22","Jan","1","2020"
"1/23/2020 0:00","Thu","23","Jan","1","2020"
"1/24/2020 0:00","Fri","24","Jan","1","2020"
"1/25/2020 0:00","Sat","25","Jan","1","2020"
"1/26/2020 0:00","Sun","26","Jan","1","2020"
"1/27/2020 0:00","Mon","27","Jan","1","2020"
"1/28/2020 0:00","Tue","28","Jan","1","2020"
"1/29/2020 0:00","Wed","29","Jan","1","2020"
"1/30/2020 0:00","Thu","30","Jan","1","2020"
"1/31/2020 0:00","Fri","31","Jan","1","2020"
"2/1/2020 0:00","Sat","1","Feb","2","2020"
"2/2/2020 0:00","Sun","2","Feb","2","2020"
"2/3/2020 0:00","Mon","3","Feb","2","2020"
"2/4/2020 0:00","Tue","4","Feb","2","2020"
"2/5/2020 0:00","Wed","5","Feb","2","2020"
"2/6/2020 0:00","Thu","6","Feb","2","2020"
"2/7/2020 0:00","Fri","7","Feb","2","2020"
"2/8/2020 0:00","Sat","8","Feb","2","2020"
"2/9/2020 0:00","Sun","9","Feb","2","2020"
"2/10/2020 0:00","Mon","10","Feb","2","2020"
"2/11/2020 0:00","Tue","11","Feb","2","2020"
"2/12/2020 0:00","Wed","12","Feb","2","2020"
"2/13/2020 0:00","Thu","13","Feb","2","2020"
"2/14/2020 0:00","Fri","14","Feb","2","2020"
"2/15/2020 0:00","Sat","15","Feb","2","2020"
"2/16/2020 0:00","Sun","16","Feb","2","2020"
"2/17/2020 0:00","Mon","17","Feb","2","2020"
"2/18/2020 0:00","Tue","18","Feb","2","2020"
"2/19/2020 0:00","Wed","19","Feb","2","2020"
"2/20/2020 0:00","Thu","20","Feb","2","2020"
"2/21/2020 0:00","Fri","21","Feb","2","2020"
"2/22/2020 0:00","Sat","22","Feb","2","2020"
"2/23/2020 0:00","Sun","23","Feb","2","2020"
"2/24/2020 0:00","Mon","24","Feb","2","2020"
"2/25/2020 0:00","Tue","25","Feb","2","2020"
"2/26/2020 0:00","Wed","26","Feb","2","2020"
"2/27/2020 0:00","Thu","27","Feb","2","2020"
"2/28/2020 0:00","Fri","28","Feb","2","2020"
"2/29/2020 0:00","Sat","29","Feb","2","2020"
"3/1/2020 0:00","Sun","1","Mar","3","2020"
"3/2/2020 0:00","Mon","2","Mar","3","2020"
"3/3/2020 0:00","Tue","3","Mar","3","2020"
"3/4/2020 0:00","Wed","4","Mar","3","2020"
"3/5/2020 0:00","Thu","5","Mar","3","2020"
"3/6/2020 0:00","Fri","6","Mar","3","2020"
"3/7/2020 0:00","Sat","7","Mar","3","2020"
"3/8/2020 0:00","Sun","8","Mar","3","2020"
"3/9/2020 0:00","Mon","9","Mar","3","2020"
"3/10/2020 0:00","Tue","10","Mar","3","2020"
"3/11/2020 0:00","Wed","11","Mar","3","2020"
"3/12/2020 0:00","Thu","12","Mar","3","2020"
"3/13/2020 0:00","Fri","13","Mar","3","2020"
"3/14/2020 0:00","Sat","14","Mar","3","2020"
"3/15/2020 0:00","Sun","15","Mar","3","2020"
